techs,flow_cap_max,flow_out_eff,cost_flow_cap_per_distance
SH1_to_TH1,2000,0.99,0.01
SE1_to_TE1,2000,0.99,0.3
TH1_to_D1,2000,0.99,0.01
TH1_to_D2,2000,0.99,0.01
TH1_to_D3,2000,0.99,0.01
TH1_to_D4,2000,0.99,0.01
TH1_to_D5,2000,0.99,0.01
TH1_to_D6,2000,0.99,0.01
TH1_to_D7,2000,0.99,0.01
TH1_to_D8,2000,0.99,0.01
TH1_to_D9,2000,0.99,0.01
TH1_to_D10,2000,0.99,0.01
TH1_to_D11,2000,0.99,0.01
TH1_to_D12,2000,0.99,0.01
TH1_to_D13,2000,0.99,0.01
TH1_to_D14,2000,0.99,0.01
TH1_to_D15,2000,0.99,0.01
TH1_to_D16,2000,0.99,0.01
TH1_to_D17,2000,0.99,0.01
TH1_to_D18,2000,0.99,0.01
TH1_to_D19,2000,0.99,0.01
TH1_to_D20,2000,0.99,0.01
TH1_to_D21,2000,0.99,0.01
TH1_to_D22,2000,0.99,0.01
TH1_to_D23,2000,0.99,0.01
TH1_to_D24,2000,0.99,0.01
TH1_to_D25,2000,0.99,0.01
TH1_to_D26,2000,0.99,0.01
TH1_to_D27,2000,0.99,0.01
TH1_to_D28,2000,0.99,0.01
TH1_to_D29,2000,0.99,0.01
TH1_to_D30,2000,0.99,0.01
TH1_to_D31,2000,0.99,0.01
TH1_to_D32,2000,0.99,0.01
TH1_to_D33,2000,0.99,0.01
TH1_to_D34,2000,0.99,0.01
TH1_to_D35,2000,0.99,0.01
TH1_to_D36,2000,0.99,0.01
TH1_to_D37,2000,0.99,0.01
TH1_to_D38,2000,0.99,0.01
TH1_to_D39,2000,0.99,0.01
TH1_to_D40,2000,0.99,0.01
TH1_to_D41,2000,0.99,0.01
TH1_to_D42,2000,0.99,0.01
TH1_to_D43,2000,0.99,0.01
TH1_to_D44,2000,0.99,0.01
TH1_to_D45,2000,0.99,0.01
TH1_to_D46,2000,0.99,0.01
TH1_to_D47,2000,0.99,0.01
TH1_to_D48,2000,0.99,0.01
TH1_to_D49,2000,0.99,0.01
TH1_to_D50,2000,0.99,0.01
TH1_to_D51,2000,0.99,0.01
TH1_to_D52,2000,0.99,0.01
TH1_to_D53,2000,0.99,0.01
TH1_to_D54,2000,0.99,0.01
TH1_to_D55,2000,0.99,0.01
TH1_to_D56,2000,0.99,0.01
TH1_to_D57,2000,0.99,0.01
TH1_to_D58,2000,0.99,0.01
TH1_to_D59,2000,0.99,0.01
TH1_to_D60,2000,0.99,0.01
TH1_to_D61,2000,0.99,0.01
TH1_to_D62,2000,0.99,0.01
TH1_to_D63,2000,0.99,0.01
TH1_to_D64,2000,0.99,0.01
TH1_to_D65,2000,0.99,0.01
TH1_to_D66,2000,0.99,0.01
